b_Zunhua,遵化
b_Huhanhai_Mohechi,忽汗海
b_Huazhou_Shilong,石龙
b_Huazhou_Baima,白马
b_Huazhou,华州
b_Huayin,华阴
b_Huating_Kunshan,华亭
b_Huating,华亭
b_Huashan,华山
b_Huarong,华容
b_HuanzhouJiude,九德
b_Huanzhou_Zhengping,正平
b_Huangzhou_Huanggang,黄冈
b_Huangyan,黄岩
b_Huangpi,黄陂
b_Huangmei,黄梅
b_Huanglongfu,黄龙
b_Huanglian_Jiulongxi,黄连
b_Huanchun_Chunan,还淳
b_Huaiyin_Chuzhou,淮阴
b_Huairou,怀柔
b_Huairen,怀仁
b_Huaiji_Sihui,怀集
b_Huachi,华池
b_Houzhou_Lunzhou,侯州
b_Horhnajubur,豁儿豁纳主不儿
b_honin,羊城
b_Hongzhou_Yuzhang,豫章
b_Hongya,洪雅
b_Hongxian_Xiaqiu,夏丘
b_Hongtong,洪洞
b_Hongnong_Guozhou,弘农
b_Hongfusi,弘福
b_Holuhotom,火鲁火
b_HolonNor,俱伦泊
b_Hezhou_Wujiang,历阳
b_Hezhou_Shijing,石镜
b_Hezhou_longyou,河州
b_Hezhou_Linhe,临贺
b_Hezhou_Hailong,海龙
b_Heyuan,河源
b_Heyangjun_Wenfuzhou,河阳
b_Heyang,河阳
b_Hesuguan_Hesqan,曷苏馆
b_Heshenggucheng,纥升骨
b_Hequ,火山军
b_Heqingjun,河清军
b_Hepuchuan_Mojiang,河普川
b_HengzhouZhending,真定
b_Hengzhou_Ningpu,宁浦
b_Hengyang_Hengzhou,衡阳
b_Hengshui,衡水
b_Hengshan_Xiangtan,衡山
b_Hengshan,恒山
b_Henei_Huaizhou,河内
b_Hemanbu_Tengtiao,和蛮
b_Helibint,合里宾忒
b_HelaRiver,曷剌
b_Helan_Yiligu,曷懒
b_Hejiang_Wanshou,合江
b_Hehe,合河
b_Hefeng,鹤峰
b_Hechi_Shukunzhou,述昆
b_Hebin,河滨
b_Harstinnsom,海拉斯廷索木
b_Haozhou_Zhongli_Fengyang,钟离
b_Hanzhou_Luoxian,雒
b_HanzhongNanzheng,南郑
b_Hanyin,汉阴
b_Hangzhou_Qiantang,钱塘
b_Handan,邯郸
b_Hancheng,韩城
b_haman,咸安
b_Haizhou_Qushan,朐山
b_Hailing,海陵
b_Hailin,海林
b_Hailar,海剌儿
b_Haifeng,海丰
b_haeju,海州
b_HaeinsaTemple,海印
b_gyeogju,良州
b_Guzhu_Juyongguan,居庸关
b_Gutaoguan,故桃关
b_Guozhou_Nanchong,南充
b_Guoxian,崞
b_GuizhouHuairong_Kehanzhou,怀戎
b_Guiyang_Pingyang,平阳
b_Guilin,桂林
b_Gucheng,谷城
b_Guanyang_Quanzhou,湘源
b_Guantao,馆陶
b_Guanling_Luodian,罗殿
b_Guangzhou_Nanhai,南海
b_Guangzhou_Dingcheng,定城
b_Guangjihu_Dayanli,广济湖
b_Guangde_Suian,广德
b_Guangdang,广荡
b_GreenTomb,青冢
b_Gourong,句容
b_Goupo,狗泊
b_goryeong,大迦耶
b_Gongzhou_Manzhou,功州
b_gongju_buyeo_sibi,泗沘
b_Gongcheng_Sumenshan,共城
b_Gongan,公安
b_Geya,结雅
b_GenRiver_Kulerwend,犍河
b_GayaRiver,噶呀
b_Gaozhou_Dianbai,亮德
b_Gaoyou,高邮
b_Gaotang,高唐
b_Gaomi_Yiancheng,高密
b_Gaomenguan_Changshui,长水
b_Gaoan,高安
b_Ganxian_Qianzhou,赣
b_Gantangzhou,甘棠
b_GanRiver_Yujue,甘河
b_ganghwa,江华
b_Gaimouzhou,盖牟
b_FuzhouLuojiao,洛交
b_Fuzhou_tongchang,同昌
b_Fuzhou_Linchuan,临川
b_Fuzhou_Liao,福州
b_Fuzhou_Changle,长乐
b_Fuyufu_Tongzhou,扶余
b_Fuyang,富阳
b_Fushuizhou_Duopeng,抚水
b_Fuqiang,伏羌
b_Fuping,富平
b_Funing,抚宁
b_Fumin,富民
b_Fuluzhou_Xinchang,福禄
b_Fulu,伏陆
b_Fuling,涪陵
b_Fuliang,浮梁
b_Fuli_Suzhou,符离
b_Fugu,府谷
b_Fuchengguan,府城关
b_Fucheng_qin,鄜城
b_Fucheng,涪城
b_Fengzhouliangquan,梁泉
b_Fengzhou_Fengchuan,封川
b_Fengxiang,凤翔
b_Fenglingguan,风陵关
b_Fengli,丰利
b_Fenghuanggu,凤凰谷
b_Fenghua,奉化
b_Fengdu,丰都
b_Fengcheng_Hongzhou,丰城
b_Feizhou_Sinan,费州
b_Feixian_Fengxian,沛
b_Feihudao,飞狐
b_Fanshi,繁峙
b_Fangzhouzhongbu,中部
b_Fangshanguan,方山关
b_Fangqu,方渠
b_Fangling,房陵
b_Fangcheng,方城
b_Fancheng,樊城
b_Ezhuntianguan_Nuodan,诺
b_Ersu,乌素固
b_Erguna,望建
b_Enshi_Qingjiang,恩施
b_Enan,斡难
b_Emur,额穆尔
b_Emeishan,峨眉
b_EastSurrended,东受降城
b_Duoquanzi,多泉子
b_Dunen_Tumen,钝恩
b_Dulizhen,都里
b_Duanzhou_Gaoyao,高要
b_Duanshi,端氏
b_DongJialiangzhou,东嘉梁
b_Donghai_Gedadong,洞海
b_Dongguan,东莞
b_DongE,东阿
b_Dobher,多博和儿
b_dizhouYanci,厌次
b_DingzhouAnxi,安喜
b_Dingxiang,定襄
b_Dinglifu,定理
b_Didao,狄道
b_Dezhou_Ande,安德
b_Deyang,德阳
b_Derompant,跌里温盘陀
b_Deqing_Wukang,德清
b_Dengzhou_Penglai,蓬莱
b_Dengzhou,穰
b_DazuChangyuan,大足
b_Dayu_Nananjun,大庾
b_Dayong,大庸
b_Daxing_Pozhuocheng,泊汋
b_Datongchuan,大同川
b_Datong,大同
b_Dashuipo_Sadenniao,撒得袅
b_Dasanguan,大散关
b_Daocheng_Shuiluo,稻城
b_Danzhouyichuan,宜川
b_Danzhou_Yilun,儋州
b_Dantu_Runzhou,丹徒
b_danluo,耽罗
b_Daning,马斗关
b_Dangyang,当阳
b_Dangtu_Wuhu,当涂
b_Dangshan,砀山
b_Dalugucheng,达卢古
b_dalseong,达伐
b_Dalixian_Ningyuan,雷石
b_Dali_Yangjumie,阳苴咩
b_Dalaiblak,达赉布拉克
b_Dahur,达呼尔
b_Dadu,大渡
b_Dabin,大斌
b_congshiting,丛石亭
b_CizhouFuyang,滏阳
b_Chuzhou_Qingliu,清流
b_Chuxian,樗
b_Chuqiu,楚丘
b_chunju,忠州
b_Chungu,鹑觚
b_chunchon,春川
b_Chuhedian_Nelanagu_Zhaozhou,涅剌奴古
b_Chorna,鞠那
b_chonju,全州
b_Chongzhou_Shiqian,充州
b_chongju,清州
b_Chiyang_Lushan,鲁山
b_Chiya,奇雅
b_Chirkh,勤勒豁
b_cheorwon,铁原
b_Chenzhou_Wanqiu,宛丘
b_Chenzhou_Chenxian,郴
b_Chenxi,辰溪
b_Chenliu,陈留
b_Chengzhoushanglu,上禄
b_Chengyi_Uttaradit,程逸
b_Chengwei,城嵬
b_Chengping,城平
b_Chengjiedan,成偈
b_Chengji,成纪
b_Chenggu,城固
b_Chengdu,成都
b_Chencangxiadao,陇坻道
b_Chencang,陈仓
b_chechon,堤川
b_Chaozhou_Haiyang,海阳
b_Chaoyang_Swatow,潮阳
b_Chaoxian,巢
b_Chaosu,昭苏
b_Chanyufu,单于府
b_ChanmouRiver,谗谋
b_Changzhou_Jinling,晋陵
b_Changze,长泽
b_Changxi_Xiapu,长溪
b_changwon,昌原
b_Changshu,常熟
b_Changshou_Zhongxiang,长寿
b_Changsha_Tanzhou,长沙
b_Changqing,长清
b_Changpingguan,长平关
b_Changmen_Jingmen,荆门
b_Changling,长岭
b_Changle,昌乐
b_ChangdaoLongshan,常道
b_Changdao,长道
b_Changchunzhou_Yellowhead,长春
b_Changbangcheng,长傍
b_ChangAn,长安
b_Chaling_Youxian,茶陵
b_Chagannor_South,查干淖尔
b_Caozhou_Jiyin,济阴
b_CangzhouQingchi,清池
b_BuyurLake,捕鱼儿海
b_Buri,步日
b_BurchCliff,不鲁吉崖
b_BozhouLiaocheng,聊城
b_Bozhou_Zunyi,播州
b_Bozhou_Qiaoxian,谯
b_Bozhou_Bohai,渤州
b_Boye_Gaoyang,博野
b_Borjia,孛只
b_Boli_Yueliji,勃利
b_Bohuandao,拨换
b_Bobai,博白
b_Bizhou_Nuoshui,诺水
b_Bixian,费
b_Binzhouxinping,新平
b_Binzhou_Lingfang,领方
b_Binhua,宾化
b_Binglingsi,炳灵
b_BijinRiver,比金
b_Bigud_BakuRiver,鳖古
b_Bigu,壁谷
b_BeizhouQinghe,清河
b_Beishacheng,卑沙
b_Beiping_Wangdu,望都
b_beiliuqiu,北琉虬
b_Beihai,北海
b_Bazhou_Damu,化城
b_Bayanterm,巴彦特勒木
b_Bashan,巴山
b_Baozhou_Huizhoue,白甫河
b_Baoxiedao,褒斜道
b_Baosai_Taideng,台登
b_Baoding,宝鼎
b_Baodejun,保德军
b_Bama,巴马
b_Baling_Yuezhou,巴陵
b_Baiyanchi,白盐池
b_Baiyacheng,白崖
b_Baixiang,柏乡
b_Baishui,白水
b_Baiquan,百泉
b_Baimiaoshan,柏庙山
b_Baimaguan,白马关
b_Baimachuan,白马川
b_Bailaoguan,定军山
b_Bailangshan,白狼山
b_Baideng,白登
b_Badong,巴东
b_Apangbu,阿旁
b_Anzhou_laos,安州
b_Anzhou_Anlu,安陆
b_Anyi,安邑
b_AntuhunRiver,暗土浑
b_anton,安东
b_Anshicheng,安市
b_Anning_Longhe,安宁
b_Anling,安陵
b_Anlechuan,安乐川
b_Ankang,安康
b_anju,安州
b_Anju,安居
b_Anhua_Yizhoulongshui,龙水
b_Angu,安固
b_Anfeng_Shaopi,芍陂
b_Anfeng_Changbaishan,安丰
b_Anding,安定
b_Anchuhu_Wanyan,按出虎
b_Anbianfu_Orga,安边
b_Anbian,安边
b_Amyid,昂衣得
b_AmgonRiver,阿姆贡
b_Amazar,阿马扎尔
b_amami,奄美
b_AlimintRiver,阿里民忒
b_AizhouJiuzhen,九真
